year,province,vocational_major,skill_name,total_demand,avg_salary_offered,total_supply,certification_rate,SGI,status_gap,cluster_label
2023,Riau,Rekayasa Perangkat Lunak (RPL),Web Development,2898,9580450,868,0.77,0.7004830917874396,Kritis,0
2023,Riau,Rekayasa Perangkat Lunak (RPL),Data Analytics,1578,7031785,1876,0.47,-0.1888466413181242,Surplus,1
2023,Riau,Teknik Otomasi Industri (TOI),Otomasi Industri,3478,8653339,2598,0.79,0.2530189764232317,Waspada,0
2023,Riau,Teknik Otomasi Industri (TOI),Internet of Things (IoT),3382,5796107,1442,0.37,0.5736250739207569,Kritis,0
2023,Riau,Teknik Logistik,Supply Chain Digital,1702,8547389,1942,0.66,-0.1410105757931845,Surplus,0
2023,Riau,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2951,12788004,1286,0.72,0.5642155201626567,Kritis,0
2023,Riau,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,3346,11045035,3205,0.59,0.0421398684997011,Waspada,0
2023,Riau,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,3095,10315989,2372,0.37,0.2336025848142164,Waspada,0
2023,Riau,Multimedia/DKV,Desain Grafis & UI/UX,2770,5291234,4287,0.7,-0.5476534296028881,Surplus,1
2023,Riau,Multimedia/DKV,Content Creation,2685,10201218,4249,0.67,-0.5824953445065177,Surplus,1
2023,Jambi,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2228,11714550,829,0.53,0.6279174147217235,Kritis,0
2023,Jambi,Teknik Komputer & Jaringan (TKJ),Cyber Security,1597,11706726,775,0.52,0.514715090795241,Kritis,0
2023,Jambi,Rekayasa Perangkat Lunak (RPL),Web Development,1592,12358158,1670,0.46,-0.0489949748743718,Surplus,0
2023,Jambi,Rekayasa Perangkat Lunak (RPL),Data Analytics,3081,13311017,686,0.75,0.777345017851347,Kritis,0
2023,Jambi,Teknik Otomasi Industri (TOI),Otomasi Industri,2684,5569598,2186,0.85,0.1855439642324888,Waspada,0
2023,Jambi,Teknik Otomasi Industri (TOI),Internet of Things (IoT),2063,12771379,1263,0.85,0.3877847794474067,Waspada,0
2023,Jambi,Teknik Logistik,Supply Chain Digital,2220,8056415,2511,0.5,-0.131081081081081,Surplus,0
2023,Jambi,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,3123,10454237,1646,0.37,0.4729426833173231,Waspada,0
2023,Jambi,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,3478,5773548,3472,0.77,0.0017251293847038,Waspada,0
2023,Jambi,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2878,11864746,1000,0.38,0.6525364836692147,Kritis,0
2023,Jambi,Multimedia/DKV,Desain Grafis & UI/UX,1740,11016204,1710,0.73,0.0172413793103448,Waspada,0
2023,Jambi,Multimedia/DKV,Content Creation,2383,9993542,4386,0.76,-0.8405371380612673,Surplus,1
2023,Sumatera Selatan,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2922,9374293,780,0.73,0.7330595482546202,Kritis,0
2023,Sumatera Selatan,Teknik Komputer & Jaringan (TKJ),Cyber Security,3019,4843585,1754,0.7,0.4190129181848294,Waspada,0
2023,Sumatera Selatan,Rekayasa Perangkat Lunak (RPL),Web Development,2797,7339448,1106,0.39,0.6045763317840543,Kritis,0
2023,Sumatera Selatan,Rekayasa Perangkat Lunak (RPL),Data Analytics,1995,13106461,1487,0.71,0.2546365914786967,Waspada,0
2023,Sumatera Selatan,Teknik Otomasi Industri (TOI),Otomasi Industri,3181,6001482,2997,0.55,0.0578434454574033,Waspada,0
2023,Sumatera Selatan,Teknik Otomasi Industri (TOI),Internet of Things (IoT),2863,9070070,1413,0.36,0.5064617534055187,Kritis,0
2023,Sumatera Selatan,Teknik Logistik,Supply Chain Digital,2696,11660006,2098,0.52,0.2218100890207715,Waspada,0
2023,Sumatera Selatan,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,3437,7707360,2794,0.67,0.1870817573465231,Waspada,0
2023,Sumatera Selatan,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,2608,10695544,4494,0.82,-0.723159509202454,Surplus,1
2023,Sumatera Selatan,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2506,10497469,2313,0.35,0.0770151636073423,Waspada,0
2023,Sumatera Selatan,Multimedia/DKV,Desain Grafis & UI/UX,2172,10622184,1623,0.61,0.2527624309392265,Waspada,0
2023,Sumatera Selatan,Multimedia/DKV,Content Creation,2482,7348421,3826,0.69,-0.5414987912973409,Surplus,1
2023,Bengkulu,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2679,6754109,1742,0.6,0.3497573721537887,Waspada,0
2023,Bengkulu,Teknik Komputer & Jaringan (TKJ),Cyber Security,2457,12005547,1799,0.47,0.2678062678062678,Waspada,0
2023,Bengkulu,Rekayasa Perangkat Lunak (RPL),Web Development,1863,11257294,1547,0.38,0.1696188942565754,Waspada,0
2023,Bengkulu,Rekayasa Perangkat Lunak (RPL),Data Analytics,2831,11209907,941,0.71,0.6676086188625927,Kritis,0
2023,Bengkulu,Teknik Otomasi Industri (TOI),Otomasi Industri,2336,4839353,1183,0.5,0.4935787671232877,Waspada,0
2023,Bengkulu,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1763,8160011,1507,0.78,0.1452070334656835,Waspada,0
2023,Bengkulu,Teknik Logistik,Supply Chain Digital,2836,11872695,2474,0.75,0.1276445698166431,Waspada,0
2023,Bengkulu,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,1898,5613168,1973,0.43,-0.0395152792413066,Surplus,0
2023,Bengkulu,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1201,8582875,3885,0.8,-2.234804329725229,Surplus,1
2023,Bengkulu,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2789,12534102,1732,0.64,0.3789888849049839,Waspada,0
2023,Bengkulu,Multimedia/DKV,Desain Grafis & UI/UX,2959,13458144,4245,0.46,-0.4346062859074011,Surplus,1
2023,Bengkulu,Multimedia/DKV,Content Creation,2861,6361729,3384,0.46,-0.1828032156588605,Surplus,1
2023,Lampung,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2276,9831595,1157,0.65,0.4916520210896309,Waspada,0
2023,Lampung,Teknik Komputer & Jaringan (TKJ),Cyber Security,2895,13870277,1349,0.56,0.5340241796200346,Kritis,0
2023,Lampung,Rekayasa Perangkat Lunak (RPL),Web Development,2639,5919043,1497,0.41,0.4327396741189844,Waspada,0
2023,Lampung,Rekayasa Perangkat Lunak (RPL),Data Analytics,1402,11903230,868,0.71,0.3808844507845934,Waspada,0
2023,Lampung,Teknik Otomasi Industri (TOI),Otomasi Industri,1493,7358231,1543,0.57,-0.0334896182183523,Surplus,0
2023,Lampung,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1397,6461909,2033,0.76,-0.4552612741589119,Surplus,1
2023,Lampung,Teknik Logistik,Supply Chain Digital,3130,4910078,2589,0.39,0.1728434504792332,Waspada,0
2023,Lampung,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,3391,6808187,1159,0.61,0.6582129165437924,Kritis,0
2023,Lampung,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1386,6948815,3301,0.71,-1.3816738816738816,Surplus,1
2023,Lampung,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2994,9306259,2011,0.5,0.3283233132932531,Waspada,0
2023,Lampung,Multimedia/DKV,Desain Grafis & UI/UX,3155,8935314,2769,0.63,0.1223454833597464,Waspada,0
2023,Lampung,Multimedia/DKV,Content Creation,2569,6407618,2553,0.41,0.0062281043207473,Waspada,0
2023,Kep. Bangka Belitung,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2734,9136787,1353,0.74,0.5051207022677395,Kritis,0
2023,Kep. Bangka Belitung,Teknik Komputer & Jaringan (TKJ),Cyber Security,2934,4871295,1617,0.55,0.4488752556237219,Waspada,0
2023,Kep. Bangka Belitung,Rekayasa Perangkat Lunak (RPL),Web Development,1840,10051035,1917,0.49,-0.0418478260869565,Surplus,0
2023,Kep. Bangka Belitung,Rekayasa Perangkat Lunak (RPL),Data Analytics,3169,6826793,1201,0.76,0.6210160934048595,Kritis,0
2023,Kep. Bangka Belitung,Teknik Otomasi Industri (TOI),Otomasi Industri,2834,13336326,2662,0.38,0.0606916019760056,Waspada,0
2023,Kep. Bangka Belitung,Teknik Otomasi Industri (TOI),Internet of Things (IoT),2987,8304473,2739,0.55,0.083026447941078,Waspada,0
2023,Kep. Bangka Belitung,Teknik Logistik,Supply Chain Digital,1823,7004664,2464,0.35,-0.3516182117388919,Surplus,1
2023,Kep. Bangka Belitung,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2080,5486976,2017,0.74,0.0302884615384615,Waspada,0
2023,Kep. Bangka Belitung,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,2527,7272189,4213,0.49,-0.667194301543332,Surplus,1
2023,Kep. Bangka Belitung,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,1652,13306404,1293,0.8,0.2173123486682808,Waspada,0
2023,Kep. Bangka Belitung,Multimedia/DKV,Desain Grafis & UI/UX,2383,6041082,3166,0.77,-0.3285774234158624,Surplus,1
2023,Kep. Bangka Belitung,Multimedia/DKV,Content Creation,3256,11361000,4440,0.52,-0.3636363636363636,Surplus,1
2023,Kep. Riau,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2882,8474515,1260,0.72,0.5628036086051353,Kritis,0
2023,Kep. Riau,Teknik Komputer & Jaringan (TKJ),Cyber Security,3399,9315488,1417,0.82,0.5831126802000588,Kritis,0
2023,Kep. Riau,Rekayasa Perangkat Lunak (RPL),Web Development,1827,13856842,1060,0.53,0.4198139025725232,Waspada,0
2023,Kep. Riau,Rekayasa Perangkat Lunak (RPL),Data Analytics,2848,11124167,1743,0.63,0.3879915730337078,Waspada,0
2023,Kep. Riau,Teknik Otomasi Industri (TOI),Otomasi Industri,5550,11132429,2697,0.51,0.514054054054054,Kritis,0
2023,Kep. Riau,Teknik Otomasi Industri (TOI),Internet of Things (IoT),2736,18741447,1611,0.8,0.4111842105263157,Waspada,2
2023,Kep. Riau,Teknik Logistik,Supply Chain Digital,3051,22567847,1818,0.57,0.4041297935103244,Waspada,2
2023,Kep. Riau,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,5661,19167909,1176,0.54,0.7922628510863805,Kritis,2
2023,Kep. Riau,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,3084,7599487,3886,0.83,-0.2600518806744488,Surplus,1
2023,Kep. Riau,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2077,12783441,2444,0.41,-0.1766971593644679,Surplus,1
2023,Kep. Riau,Multimedia/DKV,Desain Grafis & UI/UX,2156,11728040,2205,0.6,-0.0227272727272727,Surplus,0
2023,Kep. Riau,Multimedia/DKV,Content Creation,1360,12128141,2892,0.82,-1.126470588235294,Surplus,1
2023,DKI Jakarta,Teknik Komputer & Jaringan (TKJ),Cloud Computing,6000,15619015,1788,0.7,0.702,Kritis,0
2023,DKI Jakarta,Teknik Komputer & Jaringan (TKJ),Cyber Security,6544,23842096,1238,0.42,0.8108190709046454,Kritis,2
2023,DKI Jakarta,Rekayasa Perangkat Lunak (RPL),Web Development,6276,27674126,1786,0.71,0.7154238368387508,Kritis,2
2023,DKI Jakarta,Rekayasa Perangkat Lunak (RPL),Data Analytics,5803,25568601,1323,0.44,0.7720144752714113,Kritis,2
2023,DKI Jakarta,Teknik Otomasi Industri (TOI),Otomasi Industri,1839,12970528,2559,0.73,-0.3915171288743883,Surplus,1
2023,DKI Jakarta,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1659,9101754,2808,0.69,-0.6925858951175407,Surplus,1
2023,DKI Jakarta,Teknik Logistik,Supply Chain Digital,1669,6783509,1792,0.5,-0.0736968244457759,Surplus,0
2023,DKI Jakarta,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2893,6321701,1532,0.59,0.4704459039059799,Waspada,0
2023,DKI Jakarta,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,3477,10905525,4119,0.67,-0.1846419327006039,Surplus,1
2023,DKI Jakarta,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2999,8238618,1809,0.4,0.3967989329776592,Waspada,0
2023,DKI Jakarta,Multimedia/DKV,Desain Grafis & UI/UX,1425,7257184,3787,0.83,-1.6575438596491228,Surplus,1
2023,DKI Jakarta,Multimedia/DKV,Content Creation,2159,8606688,2308,0.78,-0.0690134321445113,Surplus,0
2023,Jawa Barat,Teknik Komputer & Jaringan (TKJ),Cloud Computing,1652,12065795,1545,0.58,0.0647699757869249,Waspada,0
2023,Jawa Barat,Teknik Komputer & Jaringan (TKJ),Cyber Security,1746,8841776,1742,0.67,0.0022909507445589,Waspada,0
2023,Jawa Barat,Rekayasa Perangkat Lunak (RPL),Web Development,1216,9930397,796,0.53,0.3453947368421052,Waspada,0
2023,Jawa Barat,Rekayasa Perangkat Lunak (RPL),Data Analytics,2269,8244084,1229,0.78,0.4583516967827237,Waspada,0
2023,Jawa Barat,Teknik Otomasi Industri (TOI),Otomasi Industri,7026,24736847,2036,0.56,0.7102191858810134,Kritis,2
2023,Jawa Barat,Teknik Otomasi Industri (TOI),Internet of Things (IoT),6232,27971960,1396,0.56,0.77599486521181,Kritis,2
2023,Jawa Barat,Teknik Logistik,Supply Chain Digital,2898,27938194,1897,0.46,0.3454106280193236,Waspada,2
2023,Jawa Barat,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,3987,23130710,1328,0.78,0.6669174818159017,Kritis,2
2023,Jawa Barat,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,2339,11157182,4267,0.79,-0.8242838820008551,Surplus,1
2023,Jawa Barat,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2180,7015167,2123,0.69,0.0261467889908256,Waspada,0
2023,Jawa Barat,Multimedia/DKV,Desain Grafis & UI/UX,1327,11642385,3294,0.37,-1.482290881688018,Surplus,1
2023,Jawa Barat,Multimedia/DKV,Content Creation,3016,5488105,4392,0.42,-0.4562334217506631,Surplus,1
2023,Jawa Tengah,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2958,6789173,1485,0.41,0.497971602434077,Waspada,0
2023,Jawa Tengah,Teknik Komputer & Jaringan (TKJ),Cyber Security,1769,6214466,1316,0.51,0.2560768795929904,Waspada,0
2023,Jawa Tengah,Rekayasa Perangkat Lunak (RPL),Web Development,3095,5245101,1260,0.55,0.592891760904685,Kritis,0
2023,Jawa Tengah,Rekayasa Perangkat Lunak (RPL),Data Analytics,1825,12213023,966,0.58,0.4706849315068493,Waspada,0
2023,Jawa Tengah,Teknik Otomasi Industri (TOI),Otomasi Industri,2886,5905534,2088,0.8,0.2765072765072765,Waspada,0
2023,Jawa Tengah,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1354,9153127,2275,0.37,-0.6802067946824224,Surplus,1
2023,Jawa Tengah,Teknik Logistik,Supply Chain Digital,1445,5298863,2548,0.38,-0.7633217993079585,Surplus,1
2023,Jawa Tengah,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2700,8095990,1117,0.74,0.5862962962962963,Kritis,0
2023,Jawa Tengah,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1737,11326818,2346,0.48,-0.3506044905008635,Surplus,1
2023,Jawa Tengah,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,3041,13985687,1052,0.69,0.6540611640907597,Kritis,0
2023,Jawa Tengah,Multimedia/DKV,Desain Grafis & UI/UX,1724,10291590,3822,0.54,-1.216937354988399,Surplus,1
2023,Jawa Tengah,Multimedia/DKV,Content Creation,1235,10899628,4222,0.77,-2.4186234817813763,Surplus,1
2023,DI Yogyakarta,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2925,27254323,1866,0.41,0.362051282051282,Waspada,2
2023,DI Yogyakarta,Teknik Komputer & Jaringan (TKJ),Cyber Security,3837,32730216,1404,0.37,0.63408913213448,Kritis,2
2023,DI Yogyakarta,Rekayasa Perangkat Lunak (RPL),Web Development,5678,17529050,900,0.55,0.8414934836209933,Kritis,2
2023,DI Yogyakarta,Rekayasa Perangkat Lunak (RPL),Data Analytics,4879,21561213,660,0.8,0.8647263783562206,Kritis,2
2023,DI Yogyakarta,Teknik Otomasi Industri (TOI),Otomasi Industri,3182,8175957,1883,0.35,0.4082338152105594,Waspada,0
2023,DI Yogyakarta,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1250,8039576,1170,0.79,0.064,Waspada,0
2023,DI Yogyakarta,Teknik Logistik,Supply Chain Digital,1774,10693309,2401,0.61,-0.3534385569334836,Surplus,1
2023,DI Yogyakarta,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2348,9049913,1229,0.73,0.4765758091993186,Waspada,0
2023,DI Yogyakarta,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,2915,8303157,1677,0.74,0.4246998284734133,Waspada,0
2023,DI Yogyakarta,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2795,8997355,2710,0.46,0.0304114490161001,Waspada,0
2023,DI Yogyakarta,Multimedia/DKV,Desain Grafis & UI/UX,1204,5804646,3940,0.84,-2.272425249169435,Surplus,1
2023,DI Yogyakarta,Multimedia/DKV,Content Creation,2419,8667500,4227,0.64,-0.7474162877221993,Surplus,1
2023,Jawa Timur,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2191,5249395,1758,0.74,0.197626654495664,Waspada,0
2023,Jawa Timur,Teknik Komputer & Jaringan (TKJ),Cyber Security,1246,6060386,1792,0.53,-0.4382022471910112,Surplus,1
2023,Jawa Timur,Rekayasa Perangkat Lunak (RPL),Web Development,1468,8179569,1588,0.48,-0.0817438692098092,Surplus,0
2023,Jawa Timur,Rekayasa Perangkat Lunak (RPL),Data Analytics,1835,13411474,1793,0.5,0.0228882833787465,Waspada,0
2023,Jawa Timur,Teknik Otomasi Industri (TOI),Otomasi Industri,3897,13538093,1032,0.72,0.7351809083910701,Kritis,0
2023,Jawa Timur,Teknik Otomasi Industri (TOI),Internet of Things (IoT),4263,23351384,1518,0.52,0.6439127375087966,Kritis,2
2023,Jawa Timur,Teknik Logistik,Supply Chain Digital,4790,13068900,2661,0.64,0.4444676409185804,Waspada,0
2023,Jawa Timur,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,5394,27336363,1719,0.5,0.6813125695216907,Kritis,2
2023,Jawa Timur,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1316,4983062,2224,0.62,-0.6899696048632219,Surplus,1
2023,Jawa Timur,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2350,7641992,2251,0.77,0.042127659574468,Waspada,0
2023,Jawa Timur,Multimedia/DKV,Desain Grafis & UI/UX,3131,10895929,2184,0.62,0.3024592781858831,Waspada,0
2023,Jawa Timur,Multimedia/DKV,Content Creation,1833,5603328,2662,0.74,-0.4522640480087289,Surplus,1
2023,Banten,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2319,5329525,1123,0.5,0.5157395429064252,Kritis,0
2023,Banten,Teknik Komputer & Jaringan (TKJ),Cyber Security,1759,4976615,1344,0.55,0.2359295054007959,Waspada,0
2023,Banten,Rekayasa Perangkat Lunak (RPL),Web Development,2096,12274447,1067,0.8,0.4909351145038167,Waspada,0
2023,Banten,Rekayasa Perangkat Lunak (RPL),Data Analytics,2412,8499391,1916,0.46,0.2056384742951907,Waspada,0
2023,Banten,Teknik Otomasi Industri (TOI),Otomasi Industri,2670,13729860,1609,0.65,0.397378277153558,Waspada,0
2023,Banten,Teknik Otomasi Industri (TOI),Internet of Things (IoT),3494,8412610,2228,0.72,0.3623354321694333,Waspada,0
2023,Banten,Teknik Logistik,Supply Chain Digital,1353,6964367,1470,0.69,-0.0864745011086474,Surplus,0
2023,Banten,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2196,13544220,1515,0.83,0.3101092896174863,Waspada,0
2023,Banten,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,2443,6548014,2088,0.47,0.1453131395824805,Waspada,0
2023,Banten,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2208,7088627,2847,0.85,-0.2894021739130434,Surplus,1
2023,Banten,Multimedia/DKV,Desain Grafis & UI/UX,1652,11317963,2149,0.67,-0.3008474576271186,Surplus,1
2023,Banten,Multimedia/DKV,Content Creation,3465,11868121,4234,0.39,-0.2219336219336219,Surplus,1
2023,Bali,Teknik Komputer & Jaringan (TKJ),Cloud Computing,1750,10498848,800,0.45,0.5428571428571428,Kritis,0
2023,Bali,Teknik Komputer & Jaringan (TKJ),Cyber Security,2957,10538852,1373,0.45,0.5356780520798107,Kritis,0
2023,Bali,Rekayasa Perangkat Lunak (RPL),Web Development,3270,9884921,884,0.8,0.7296636085626911,Kritis,0
2023,Bali,Rekayasa Perangkat Lunak (RPL),Data Analytics,2981,8493305,1331,0.74,0.5535055350553506,Kritis,0
2023,Bali,Teknik Otomasi Industri (TOI),Otomasi Industri,2831,9185536,2324,0.49,0.1790886612504415,Waspada,0
2023,Bali,Teknik Otomasi Industri (TOI),Internet of Things (IoT),2215,6389228,1460,0.76,0.3408577878103837,Waspada,0
2023,Bali,Teknik Logistik,Supply Chain Digital,1715,5900567,2383,0.8,-0.3895043731778426,Surplus,1
2023,Bali,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,1535,12506358,1862,0.69,-0.213029315960912,Surplus,1
2023,Bali,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1696,4849115,2235,0.75,-0.3178066037735849,Surplus,1
2023,Bali,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,6704,17669590,2710,0.81,0.595763723150358,Kritis,2
2023,Bali,Multimedia/DKV,Desain Grafis & UI/UX,2887,10757515,1822,0.71,0.3688950467613439,Waspada,0
2023,Bali,Multimedia/DKV,Content Creation,2768,10046880,3888,0.8,-0.4046242774566474,Surplus,1
2023,Nusa Tenggara Barat,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2156,6204330,967,0.69,0.5514842300556586,Kritis,0
2023,Nusa Tenggara Barat,Teknik Komputer & Jaringan (TKJ),Cyber Security,2836,8835851,1165,0.42,0.5892101551480959,Kritis,0
2023,Nusa Tenggara Barat,Rekayasa Perangkat Lunak (RPL),Web Development,2640,6855723,652,0.6,0.753030303030303,Kritis,0
2023,Nusa Tenggara Barat,Rekayasa Perangkat Lunak (RPL),Data Analytics,1484,7776242,884,0.57,0.4043126684636118,Waspada,0
